;0;1;2;3;4
0;Компьютерные технологии лекция;1;1;Лунев Д.В.;771
1;Компьютерные технологии лекция;1;1;Лунев Д.В.;772
2;Компьютерные технологии лекция;1;1;Лунев Д.В.;773
3;Компьютерные технологии лекция;1;1;Лунев Д.В.;774
4;Компьютерные технологии лекция;1;1;Лунев Д.В.;775
5;Компьютерные технологии лекция;1;1;Лунев Д.В.;776
6;Компьютерные технологии лекция;1;1;Лунев Д.В.;777
7;Компьютерные технологии лекция;1;1;Лунев Д.В.;778
8;Компьютерные технологии лекция;1;1;Лунев Д.В.;779
9;Ин.яз.;1;1;;771
10;Ин.яз.;1;1;;772
11;Ин.яз.;1;1;;773
12;Ин.яз.;1;1;;774
13;Ин.яз.;1;1;;775
14;Ин.яз.;1;1;;776
15;Ин.яз.;1;1;;777
16;Ин.яз.;1;1;;778
17;Ин.яз.;1;1;;779
18;Мера и интеграл Лебега;1;1;Гусев Н.А.;771
19;Мера и интеграл Лебега;1;1;Гусев Н.А.;772
20;Мера и интеграл Лебега;1;1;Гусев Н.А.;773
21;Мера и интеграл Лебега;1;1;Гусев Н.А.;774
22;Мера и интеграл Лебега;1;1;Гусев Н.А.;775
23;Мера и интеграл Лебега;1;1;Гусев Н.А.;776
24;Мера и интеграл Лебега;1;1;Гусев Н.А.;777
25;Мера и интеграл Лебега;1;1;Гусев Н.А.;778
26;Мера и интеграл Лебега;1;1;Гусев Н.А.;779
27;Дифф.ур.;1;1;Прончева О.Г.;771
28;Дифф.ур.;1;1;Пыркова О.А.;773
29;Дифф.ур.;1;1;Подлипский О.К.;774
30;Дифф.ур.;1;1;Голубев М.О.;775
31;Дифф.ур.;1;1;Подлипский О.К.;772
32;Алг.и мод.выч.;1;1;Кульков А.;776
33;Дифф.ур.;1;1;Пыркова О.А.;778
34;Общая физика;1;1;Чивилев В.И.;779
35;Современные проблемы прикладной математики;1;1;;771
36;Современные проблемы прикладной математики;1;1;;772
37;Современные проблемы прикладной математики;1;1;;773
38;Современные проблемы прикладной математики;1;1;;774
39;Современные проблемы прикладной математики;1;1;;775
40;Современные проблемы прикладной математики;1;1;;776
41;Современные проблемы прикладной математики;1;1;;777
42;Современные проблемы прикладной математики;1;1;;778
43;Современные проблемы прикладной математики;1;1;;779
44;Современные проблемы прикладной математики;1;1;;771
45;Современные проблемы прикладной математики;1;1;;772
46;Современные проблемы прикладной математики;1;1;;773
47;Современные проблемы прикладной математики;1;1;;774
48;Современные проблемы прикладной математики;1;1;;775
49;Современные проблемы прикладной математики;1;1;;776
50;Современные проблемы прикладной математики;1;1;;777
51;Современные проблемы прикладной математики;1;1;;778
52;Современные проблемы прикладной математики;1;1;;779
53;Общая физика;1;1;Лапушкин Г.И.;771
54;Алг.и мод.выч.;1;1;Плавин А.В.;772
55;Алг.и мод.выч.;1;1;Селиханович Д.А.;774
56;Алг.и мод.выч.;1;1;Иванов А.В.;775
57;Гармон.ан.;1;1;Агаханова Я.С.;778
58;Алг.и мод.выч.;1;1;Шестаков С.А.;779
59;Аналитическая механика;1;1;Иванов А.П.;771
60;Аналитическая механика;1;1;Иванов А.П.;772
61;Аналитическая механика;1;1;Иванов А.П.;773
62;Аналитическая механика;1;1;Иванов А.П.;774
63;Аналитическая механика;1;1;Иванов А.П.;775
64;Аналитическая механика;1;1;Иванов А.П.;776
65;Аналитическая механика;1;1;Иванов А.П.;777
66;Аналитическая механика;1;1;Иванов А.П.;778
67;Аналитическая механика;1;1;Иванов А.П.;779
68;Аналит.мех.;1;1;Семендяев С.В.;774
69;Общая физика;1;1;Нухов А.К.;775
70;Дифф.ур.;1;1;Голованов Ю.В.;777
71;Аналит.мех.;1;1;Ткачев С.С.;779
72;Аналит.мех.;1;1;Семендяев С.В.;772
73;Алг.и мод.выч.;1;1;Гончаров М.Ю.;773
74;Аналит.мех.;1;1;Иванов А.П.;777
75;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;771
76;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;772
77;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;773
78;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;774
79;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;775
80;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;776
81;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;777
82;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;778
83;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;779
84;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;771
85;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;772
86;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;773
87;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;774
88;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;775
89;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;776
90;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;777
91;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;778
92;Доп. главы дискретного анализа;1;1;Гордеев Э.Н.;779
93;Дифференциальные уравнения;1;1;Пыркова О.А.;771
94;Дифференциальные уравнения;1;1;Пыркова О.А.;772
95;Дифференциальные уравнения;1;1;Пыркова О.А.;773
96;Дифференциальные уравнения;1;1;Пыркова О.А.;774
97;Дифференциальные уравнения;1;1;Пыркова О.А.;775
98;Дифференциальные уравнения;1;1;Пыркова О.А.;776
99;Дифференциальные уравнения;1;1;Пыркова О.А.;777
100;Дифференциальные уравнения;1;1;Пыркова О.А.;778
101;Дифференциальные уравнения;1;1;Пыркова О.А.;779
102;Гармон.ан.;1;1;Агаханова Я.С.;771
103;Гармон.ан.;1;1;Скубачевский А.А.;773
104;Гармон.ан.;1;1;Голубев М.О.;775
105;Дифф.ур.;1;1;Пыркова О.А.;776
106;Гармон.ан.;1;1;Трушин В.Б.;779
107;Гармонический анализ;1;1;Бесов О.В.;771
108;Гармонический анализ;1;1;Бесов О.В.;772
109;Гармонический анализ;1;1;Бесов О.В.;773
110;Гармонический анализ;1;1;Бесов О.В.;774
111;Гармонический анализ;1;1;Бесов О.В.;775
112;Гармонический анализ;1;1;Бесов О.В.;776
113;Гармонический анализ;1;1;Бесов О.В.;777
114;Гармонический анализ;1;1;Бесов О.В.;778
115;Гармонический анализ;1;1;Бесов О.В.;779
116;Ин.яз.;1;1;;771
117;Ин.яз.;1;1;;772
118;Ин.яз.;1;1;;773
119;Ин.яз.;1;1;;774
120;Ин.яз.;1;1;;775
121;Ин.яз.;1;1;;776
122;Ин.яз.;1;1;;777
123;Ин.яз.;1;1;;778
124;Ин.яз.;1;1;;779
125;Компьютерные технологии;1;1;Чуканова О.В.;777
126;Общая физика;1;1;Локшин Г.Р.;778
127;Компьютерные технологии;1;1;Овсянникова Т.В.;775
128;Гармон.ан.;1;1;Ждановский И.Ю.;776
129;Компьютерные технологии;1;1;Чуканова О.В.;777
130;Алг.и мод.выч.;1;1;Горбунов Э.А.;778
131;Компьютерные технологии;1;1;Овсянникова Т.В.;775
132;Общая физика: лаб.практикум;1;1;Минаков Д.В._Миславский В.В.;771
133;Компьютерные технологии;1;1;Красильников Н.И.;774
134;Аналит.мех.;1;1;Ханукаев Ю.И.;775
135;Общая физика: лаб.практикум;1;1;Лобачев В.В._Жуков С.С;777
136;Общая физика: лаб.практикум;1;1;Зеленый М.Е._Овчиннииков К.А.;779
137;Общая физика: лаб.практикум;1;1;Минаков Д.В._Миславский В.В.;771
138;Общая физика;1;1;Алескеров И.А.;772
139;Аналит.мех.;1;1;Маштаков Я.В.;773
140;Компьютерные технологии;1;1;Красильников Н.И.;774
141;Аналит.мех.;1;1;Ханукаев Ю.И.;776
142;Общая физика: лаб.практикум;1;1;Лобачев В.В._Жуков С.С;777
143;Общая физика: лаб.практикум;1;1;Зеленый М.Е._Овчиннииков К.А.;779
144;Аналит.мех.;1;1;Маштаков Я.В.;778
145;Аналит.мех.;1;1;Кузьминых В.А.;771
146;Гармон.ан.;1;1;Молчанов Е.Г.;772
147;Общая физика: лаб.практикум;1;1;Баженов С.Л._Миславский В.В.;773
148;Общая физика: лаб.практикум;1;1;Минаков Д.В._Алескеров И.А.;774
149;Общая физика: лаб.практикум;1;1;Лобачев В.В._Жуков С.С.;778
150;Компьютерные технологии;1;1;Бабичев С.Л.;771
151;Компьютерные технологии;1;1;Кулиев Р.С.;772
152;Общая физика: лаб.практикум;1;1;Баженов С.Л._Миславский В.В.;773
153;Общая физика: лаб.практикум;1;1;Минаков Д.В._Алескеров И.А.;774
154;Общая физика;1;1;Коротеев Г.А.;776
155;Гармон.ан.;1;1;Молчанов Е.Г.;777
156;Общая физика: лаб.практикум;1;1;Лобачев В.В._Жуков С.С.;778
157;Компьютерные технологии;1;1;Шумилин А.А.;779
158;Компьютерные технологии;1;1;Бабичев С.Л.;771
159;Компьютерные технологии;1;1;Кулиев Р.С.;772
160;Компьютерные технологии;1;1;Скубачевский А.А.;773
161;Компьютерные технологии;1;1;Гутник С.А.;776
162;Компьютерные технологии;1;1;Шумилин А.А.;779
163;Алг.и мод.выч.;1;1;Останин П.А.;771
164;Компьютерные технологии;1;1;Скубачевский А.А.;773
165;Компьютерные технологии;1;1;Гутник С.А.;776
166;Общая физика;1;1;Миславский В.В.;773
167;Алг.и мод.выч.;1;1;Тарасов С.П.;777
168;Общая физика: оптика;1;1;Аланакян Ю.Р.;771
169;Общая физика: оптика;1;1;Аланакян Ю.Р.;772
170;Общая физика: оптика;1;1;Аланакян Ю.Р.;773
171;Общая физика: оптика;1;1;Аланакян Ю.Р.;774
172;Общая физика: оптика;1;1;Аланакян Ю.Р.;775
173;Общая физика: оптика;1;1;Аланакян Ю.Р.;776
174;Общая физика: оптика;1;1;Аланакян Ю.Р.;777
175;Общая физика: оптика;1;1;Аланакян Ю.Р.;778
176;Общая физика: оптика;1;1;Аланакян Ю.Р.;779
177;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;771
178;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;772
179;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;773
180;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;774
181;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;775
182;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;776
183;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;777
184;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;778
185;Алгоритмы и модели вычислений;1;1;Тарасов С.П.;779
186;Общая физика: лаб.практикум;1;1;Миславский В.В._Казимиров А.А.;772
187;Общая физика;1;1;Нозик А.А.;774
188;Общая физика: лаб.практикум;1;1;Коренев Д.П._Дьячков Н.В.;775
189;Общая физика: лаб.практикум;1;1;Кубышкин А.В._Арсеньев А.Р.;776
190;Общая физика;1;1;Аланакян Ю.Р.;777
191;Дифф.ур.;1;1;Лизунов А.Ю.;779
192;Общая физика: лаб.практикум;1;1;Миславский В.В._Казимиров А.А.;772
193;Гармон.ан.;1;1;Шаньков В.В.;774
194;Общая физика: лаб.практикум;1;1;Коренев Д.П._Дьячков Н.В.;775
195;Общая физика: лаб.практикум;1;1;Кубышкин А.В._Арсеньев А.Р.;776
196;Компьютерные технологии;1;1;Субботина А.Ю.;778
197;Компьютерные технологии;1;1;Субботина А.Ю.;778
