711;712;713;714;715;716;717;718;719;721;722;723;724;725;726;727;731а;731б;732а;732б;733;734;735;736;737;738;741;742;743;752;753;754;755;761;762;763;764;765;771;772;773;774;775;776;777;778;779;781;782;783;784;785;786;787;790;791;792;793;794;795;796;797;798;799;7910;7101;7102;7103;7111;7112;7113;7114;7115
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;##;##;##;##;##;##;##;##;"Экономика#Киреев В.Б.#""Арктика""№ 418-419";Общая физика: лаб.практикум#Копнин С.И._Копнин С.И.#;##;##;##;##;##;##;##;Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;Биология#Граф А.А.#;Биология#Граф А.А.#;Ин.яз.##;##;##;##;##;##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;##;##;##;##;##;##;##;##;##;Общая физика: лаб.практикум#Копнин С.И._Копнин С.И.#;##;##;##;##;##;##;##;Компьютерные технологии#Шалаев В.И.#ауд.250;Компьютерные технологии#Шалаев В.И.#ауд.250;Компьютерные технологии#Шалаев В.И.#ауд.250;Аналит.мех.##210;Аналит.мех.##206;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;Биология##;Биология##;Ин.яз.##;##;##;##;##;##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;##;##;##;##;##;##;##;##;Теория и технология программир.#Герцев М.Н.#320 ЛК;##;##;##;##;##;##;##;##;Общая физика: лаб.практикум##;##;Аналит.мех.##422;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;Ин.яз.##;Ин.яз.##;Дифф. ур.#Аллилуева А.И.#;##;##;##;##;##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;##;##;##;##;##;##;##;##;Теория и технология программир.#Герцев М.Н.#320 ЛК;##;##;##;##;##;##;##;##;Общая физика: лаб.практикум##;Колебания и волны##417;##;Теор.вер.##206;Теор.вер.##204;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;Ин.яз.##;Ин.яз.##;Дифф. ур.##;##;##;##;##;##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;##;##;##;##;##;##;##;##;Теория и технология программир.#Герцев М.Н.#320 ЛК;Теория и технология программир.#Максимов Е.С.#320 ЛК;##;##;##;##;##;##;##;##;Общая физика##417;Общая физика##419;Комп.мод-ние физ. систем##214;Основы почности##205;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;##;##;##;##;##;##;##;##;##;Теория и технология программир.#Максимов Е.С.#320 ЛК;##;##;##;##;##;##;##;Общая физика##422;Общая физика: лаб.практикум##;Колебания и волны##419;Комп.мод-ние физ. систем##214;Основы почности##205;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;Биологические макромолекулы и их функции#Лопина О.Д.#;Биологические макромолекулы и их функции#Лопина О.Д.#;##;##;##;##;##;##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;##;##;##;##;##;##;##;##;##;Теория и технология программир.#Максимов Е.С.#320 ЛК;##;##;##;##;##;##;##;##;Общая физика: лаб.практикум##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##;##
Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;##;##;##;Теор.поля#Ахмедов Э.Т.#515 ГК;Аналит.мех.#Сахаров А.В.#412 ГК;##;##;##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Общая физика#Клименок К.Л.#521 ГК;##;##;##;Гармон.анализ#Голованов Ю.В.#411  ГК;##;##;Колебания и волны#Cидоренко Н.В.#ауд.314;Колебания и волны#Cидоренко Н.В.#ауд.314;Колебания и волны#Cидоренко Н.В.#ауд.314;##;##;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии##317 ЛК;##;##;##;Компьютерные технологии##319 ЛК;##;##;Общая физика: лаб.практикум#Локшин Г.Р._Ильин А.В.#;Общая физика: лаб.практикум#Кириллов В.П._Ткаченко С.И.#;Общая физика: лаб.практикум#Никулин М.Г._Овчинников К.А.#;Общая физика: лаб.практикум#Чешев И.В._Абрамов Б.М.#;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;##;##;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;Ин.яз.##;Ин.яз.##;Общая физ.:оптика и атом.физика#Строев А.Ю.#;Общая физика#Долгих В.А.#522 ГК;Общая физика: лаб.практикум#Извекова Ю.Н._Чивилев В.И.#;Информатика#Хламов М.А.#321 ЛК;Общая физика#Бабинцев В.А.#514 ГК;Общая физика: лаб.практикум#Судаков О.А._Морозов Е.Н.#
Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;##;##;##;##;##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Компьютерные технологии##317 ЛК;Дифф.ур.#Шаньков В.В.#409 ГК;##;##;Компьютерные технологии##319 ЛК;##;##;Общая физика: лаб.практикум#Локшин Г.Р._Ильин А.В.#;Общая физика: лаб.практикум#Кириллов В.П._Ткаченко С.И.#;Общая физика: лаб.практикум#Никулин М.Г._Овчинников К.А.#;Общая физика: лаб.практикум#Чешев И.В._Абрамов Б.М.#;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;##;Теор.колец и полей##523 ГК;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;Общая физика: оптика##;Общая физика: оптика##;Общая физика: оптика и атом.физика##;##;Общая физика: лаб.практикум#Извекова Ю.Н._Чивилев В.И.#;Информатика#Хламов М.А.#321 ЛК;Физическая химия: лаб.практикум##;Общая физика: лаб.практикум#Судаков О.А._Морозов Е.Н.#
##;##;Гармон.анализ#Дымарский Я.М.#409  ГК;##;Общая физика#Извекова Ю.Н.#516а ГК;##;Аналит.мех.#Семендяев С.В.#411  ГК;##;##;Аналит.мех.#Батхин А.Б.#507а  ГК;Общая физика#Судаков О.А.#515 ГК;##;##;Аналит.мех.#Сахаров А.В.#416 ГК;##;##;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;##;Гармон.анализ#Бурцев А.А.#525 ГК;Хим. физика##532 ГК;##;Общая физика#Клименок К.Л.#521 ГК;Теория вероятностей#Булинский А.В.#113 ГК;Теория вероятностей#Булинский А.В.#113 ГК;Теория вероятностей#Булинский А.В.#113 ГК;Теория вероятностей#Булинский А.В.#113 ГК;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;##;Общая физика#Долгих В.А.#522 ГК;##;Гармон.анализ#Киреенков А.А.#417 ГК;Гармон.анализ#Голованов Ю.В.#414 ГК;##;##;Дискр.стр.##413 ГК;##;##;##;##;Конц. и мд.физ.##512 ГК;Теор.колец и полей##523 ГК;Дифф.ур.#Загрядский О.А.#518 ГК;##;Гармон.ан.#Глухов И.В.#418  ГК;##;Правоведение##;Правоведение##;Правоведение##;##;Гармон.анализ#Тер-Крикоров А.М.#528 ГК;##;Физическая химия: лаб.практикум##;Общая физика##514 ГК
